,origin_latitude,origin_longitude,destination_latitude,destination_longitude,regiao,date
16148,-3.751912,-38.526775,-3.752751,-38.530487,Fortaleza,2019-05-19 20:36:56.606
5741,-26.920565000000003,-49.06984600000001,-26.910778000000004,-49.0892214,Blumenau,2019-05-20 12:04:20.273
40049,-18.892616,-48.2617163,-18.9204364,-48.2883805,Uberlandia,2019-05-19 12:31:01.560
45059,-23.6037475,-46.626145,-23.60174,-46.645389,Sao Paulo,2019-05-20 16:53:40.774
48212,-30.023534700000006,-51.20203129999999,-30.0502315,-51.1847675,Porto Alegre,2019-05-19 11:55:20.226
44260,-23.510749,-46.658687,-23.527991,-46.659505,Sao Paulo,2019-05-20 13:18:31.552
35082,-23.6930701,-46.5504359,-23.723388,-46.529922,Abc,2019-05-19 16:21:21.217
32175,-22.955762,-43.198313,-22.969437,-43.184533,Rio - Zona Sul,2019-05-20 17:27:42.188
38981,-23.5280182,-46.6914905,-23.529118,-46.69093,Sao Paulo,2019-05-19 20:55:02.808
47327,-15.7590806,-47.8879629,-15.743742,-47.91213,Brasilia,2019-05-19 11:40:53.356
49005,-23.5215965,-46.6237451,-23.539152800000004,-46.65760750000001,Sao Paulo,2019-05-19 13:36:49.667
19100,-27.5965533,-48.5480717,-27.594509,-48.552083,Florianopolis,2019-05-20 17:30:45.777
1334,-3.07132,-60.004858,-3.094025,-60.027432,Manaus,2019-05-20 19:16:16.144
7376,-20.820734,-49.39231,-20.834753,-49.39219,Sao Jose Do Rio Preto,2019-05-19 20:33:00.882
8769,-23.4186152,-51.946338,-23.4300826,-51.94936420000001,Maringa,2019-05-20 18:39:56.727
35383,-21.196819,-47.819221,-21.207519,-47.79743,Ribeirao Preto,2019-05-20 20:03:19.870
20008,-22.824465,-47.082843,-22.8188082,-47.0936354,Campinas,2019-05-20 12:02:40.067
43167,-23.2056784,-45.8877429,-23.1812474,-45.8690361,Sao Jose Dos Campos,2019-05-19 14:01:09.707
49338,-23.6309272,-46.69294160000001,-23.651313,-46.720214,Sao Paulo,2019-05-19 14:55:52.300
26154,-22.9315031,-43.2395695,-22.924969,-43.223606,Rio - Centro,2019-05-19 12:28:22.892
21588,-19.9322578,-43.95915520000001,-19.965138,-43.961076,Belo Horizonte,2019-05-20 12:18:18.298
44659,-23.608786,-46.689889,-23.6271006,-46.6995416,Sao Paulo,2019-05-19 19:48:31.440
44581,-25.433106,-49.27981,-25.4375837,-49.2802221,Curitiba,2019-05-19 20:46:41.697
12806,-22.9759383,-43.2287254,-22.9808097,-43.2250676,Rio - Zona Sul,2019-05-20 12:07:06.455
47399,-12.995354,-38.471293,-12.9990578,-38.4504316,Salvador,2019-05-20 20:01:18.377
10514,-12.975576,-38.513491,-12.964555,-38.482671,Salvador,2019-05-20 15:07:11.626
27077,-23.3119368,-51.16326770000001,-23.311976,-51.156969,Londrina,2019-05-20 19:12:25.048
29984,-16.654015,-49.245941,-16.642068,-49.23509,Goiania,2019-05-19 16:23:55.887
11666,-23.3308668,-51.170153000000006,-23.311714,-51.165117,Londrina,2019-05-19 22:01:02.595
49273,-12.9879746,-38.49443,-12.967711,-38.493678,Salvador,2019-05-19 11:51:55.928
17681,-22.90412,-43.101982,-22.894442,-43.115129,Niteroi,2019-05-19 12:35:05.802
18570,-23.6169576,-46.6326977,-23.59873,-46.640493,Sao Paulo,2019-05-19 20:05:41.958
5985,-22.9571931,-43.1766428,-22.940174,-43.174932,Rio - Zona Sul,2019-05-20 11:49:44.813
34367,-22.930706,-43.177097,-22.914061,-43.183534,Rio - Zona Sul,2019-05-20 19:12:50.048
2532,-12.936688,-38.394586,-12.924495,-38.356611,Salvador,2019-05-19 17:57:10.893
42470,-16.707579,-49.237066,-16.70748,-49.237519,Goiania,2019-05-19 17:49:39.199
46955,-13.008702,-38.526774,-13.0002311,-38.5293751,Salvador,2019-05-20 19:51:00.607
23623,-27.584587,-48.546453,-27.579436,-48.510585,Florianopolis,2019-05-19 12:11:18.174
32935,-20.4616145,-54.5954053,-20.456495,-54.58590600000001,Campo Grande,2019-05-20 13:26:16.403
24488,-22.97092,-43.371991,-22.965713,-43.385523,Rio - Barra,2019-05-20 19:52:02.168
23367,-23.52891,-46.651131,-23.533012,-46.659095,Sao Paulo,2019-05-19 18:36:48.445
26233,-27.5846533,-48.5465309,-27.590301,-48.559824,Florianopolis,2019-05-19 13:58:13.986
20344,-3.757707,-38.52788,-3.752559,-38.545936,Fortaleza,2019-05-20 19:34:35.910
49088,-16.680648,-49.277942,-16.684108,-49.247375,Goiania,2019-05-20 20:16:24.385
19391,-22.9038719,-43.11218650000001,-22.9052305,-43.1142497,Niteroi,2019-05-19 12:43:39.494
6935,-23.968117000000003,-46.188194,-23.969958,-46.188571,Guaruja,2019-05-19 16:20:35.720
10368,-25.4291454,-49.2681221,-25.4319692,-49.2744232,Curitiba,2019-05-20 19:47:26.608
9105,-25.4412212,-49.27769,-25.4377882,-49.2871885,Curitiba,2019-05-19 11:59:38.900
8496,-21.1836767,-47.79939270000001,-21.1831037,-47.7991643,Restaurante Parceiro,2019-05-19 20:12:25.882
2113,-12.997222,-38.444393,-12.965418,-38.442973,Salvador,2019-05-19 21:28:26.835
23281,-26.297993,-48.860598,-26.29777,-48.86469,Joinville,2019-05-20 12:37:24.909
8487,-22.862719,-47.023881,-22.856074,-47.046579,Campinas,2019-05-19 18:53:33.583
47761,-15.7585479,-47.8876678,-15.7495756,-47.8331318,Brasilia,2019-05-20 18:40:38.773
35192,-22.9554234,-43.189193,-22.9499082,-43.18248320000001,Rio - Zona Sul,2019-05-19 20:21:42.611
39834,-23.5422471,-46.6576357,-23.526843,-46.650088,Sao Paulo,2019-05-20 20:06:19.658
